DMS_ID	MSA_path	perc_cov50	Neff/L
AMFR_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AMFR_HUMAN/AMFR_HUMAN_b09/align/AMFR_HUMAN_b09.a2m	0.9149	5.823
AMFR_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AMFR_HUMAN/AMFR_HUMAN_b08/align/AMFR_HUMAN_b08.a2m	0.9149	6.889
AMFR_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AMFR_HUMAN/AMFR_HUMAN_b07/align/AMFR_HUMAN_b07.a2m	0.9149	8.579
AMFR_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AMFR_HUMAN/AMFR_HUMAN_b06/align/AMFR_HUMAN_b06.a2m	0.9149	9.476
AICDA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AICDA_HUMAN/AICDA_HUMAN_b09/align/AICDA_HUMAN_b09.a2m	0.904	1.207
AMFR_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AMFR_HUMAN/AMFR_HUMAN_b05/align/AMFR_HUMAN_b05.a2m	0.8936	10.853
AICDA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AICDA_HUMAN/AICDA_HUMAN_b08/align/AICDA_HUMAN_b08.a2m	0.899	1.536
AICDA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AICDA_HUMAN/AICDA_HUMAN_b07/align/AICDA_HUMAN_b07.a2m	0.8939	1.76
AICDA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AICDA_HUMAN/AICDA_HUMAN_b06/align/AICDA_HUMAN_b06.a2m	0.8838	2.346
AICDA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AICDA_HUMAN/AICDA_HUMAN_b04/align/AICDA_HUMAN_b04.a2m	0.8838	2.407
AICDA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AICDA_HUMAN/AICDA_HUMAN_b03/align/AICDA_HUMAN_b03.a2m	0.8889	2.526
AICDA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AICDA_HUMAN/AICDA_HUMAN_b05/align/AICDA_HUMAN_b05.a2m	0.8838	2.411
AICDA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AICDA_HUMAN/AICDA_HUMAN_b02/align/AICDA_HUMAN_b02.a2m	0.8788	2.989
A0A3G4RHW3_ATRBE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A0A3G4RHW3_ATRBE/A0A3G4RHW3_ATRBE_b09/align/A0A3G4RHW3_ATRBE_b09.a2m	0.9821	1.234
