protein_name,msa_location,theta,file_size
RPC1_LAMBD,RPC1_LAMBD_b01.a2m,0.2,19.2373
RPC1_LAMBD,RPC1_LAMBD_b02.a2m,0.2,25.9189
RPC1_LAMBD,RPC1_LAMBD_b03.a2m,0.2,25.8926
RPC1_LAMBD,RPC1_LAMBD_b04.a2m,0.2,18.1562
RPC1_LAMBD,RPC1_LAMBD_b07.a2m,0.2,2.2092
ENVZ_ECOLI,ENVZ_ECOLI_b01.a2m,0.2,170.6952
ENVZ_ECOLI,ENVZ_ECOLI_b02.a2m,0.2,165.2423
ENVZ_ECOLI,ENVZ_ECOLI_b03.a2m,0.2,162.4751
ENVZ_ECOLI,ENVZ_ECOLI_b04.a2m,0.2,150.6261
ENVZ_ECOLI,ENVZ_ECOLI_b05.a2m,0.2,123.6852
ENVZ_ECOLI,ENVZ_ECOLI_b06.a2m,0.2,110.0331
ENVZ_ECOLI,ENVZ_ECOLI_b07.a2m,0.2,67.9561
S22A1_HUMAN,S22A1_HUMAN_b02.a2m,0.2,111.8379
S22A1_HUMAN,S22A1_HUMAN_b03.a2m,0.2,74.6452
S22A1_HUMAN,S22A1_HUMAN_b04.a2m,0.2,22.8568
DYR_ECOLI,DYR_ECOLI_b01.a2m,0.2,34.3892
DYR_ECOLI,DYR_ECOLI_b02.a2m,0.2,17.2284
DYR_ECOLI,DYR_ECOLI_b03.a2m,0.2,10.5685
DYR_ECOLI,DYR_ECOLI_b04.a2m,0.2,10.2115
DYR_ECOLI,DYR_ECOLI_b05.a2m,0.2,10.111
DYR_ECOLI,DYR_ECOLI_b06.a2m,0.2,10.0363
DYR_ECOLI,DYR_ECOLI_b07.a2m,0.2,9.8812
NKX31_HUMAN,NKX31_HUMAN_b02.a2m,0.2,31.2213
NKX31_HUMAN,NKX31_HUMAN_b03.a2m,0.2,29.2844
NKX31_HUMAN,NKX31_HUMAN_b04.a2m,0.2,28.2229
NKX31_HUMAN,NKX31_HUMAN_b05.a2m,0.2,26.1697
NKX31_HUMAN,NKX31_HUMAN_b06.a2m,0.2,23.6685
NKX31_HUMAN,NKX31_HUMAN_b07.a2m,0.2,19.0926
NKX31_HUMAN,NKX31_HUMAN_b08.a2m,0.2,17.0798
NKX31_HUMAN,NKX31_HUMAN_b09.a2m,0.2,14.5533
RCRO_LAMBD,RCRO_LAMBD_b03.a2m,0.2,35.0105
DNJA1_HUMAN,DNJA1_HUMAN_b01.a2m,0.2,33.8538
DNJA1_HUMAN,DNJA1_HUMAN_b02.a2m,0.2,33.1841
DNJA1_HUMAN,DNJA1_HUMAN_b03.a2m,0.2,32.7828
DNJA1_HUMAN,DNJA1_HUMAN_b04.a2m,0.2,31.6521
DNJA1_HUMAN,DNJA1_HUMAN_b05.a2m,0.2,29.4321
DNJA1_HUMAN,DNJA1_HUMAN_b06.a2m,0.2,27.1015
DNJA1_HUMAN,DNJA1_HUMAN_b07.a2m,0.2,25.2596
DNJA1_HUMAN,DNJA1_HUMAN_b08.a2m,0.2,23.406
DNJA1_HUMAN,DNJA1_HUMAN_b09.a2m,0.2,21.4154
CASP7_HUMAN,CASP7_HUMAN_b01.a2m,0.2,21.3609
RL20_AQUAE,RL20_AQUAE_b01.a2m,0.2,34.2222
BBC1_YEAST,BBC1_YEAST_b01.a2m,0.2,68.2756
BBC1_YEAST,BBC1_YEAST_b02.a2m,0.2,68.8538
BBC1_YEAST,BBC1_YEAST_b03.a2m,0.2,66.0436
BBC1_YEAST,BBC1_YEAST_b04.a2m,0.2,61.6836
BBC1_YEAST,BBC1_YEAST_b05.a2m,0.2,55.6065
BBC1_YEAST,BBC1_YEAST_b06.a2m,0.2,47.512
BBC1_YEAST,BBC1_YEAST_b07.a2m,0.2,34.6292
BBC1_YEAST,BBC1_YEAST_b08.a2m,0.2,25.5962
HEM3_HUMAN,HEM3_HUMAN_b01.a2m,0.2,22.4458
HEM3_HUMAN,HEM3_HUMAN_b02.a2m,0.2,22.4365
HEM3_HUMAN,HEM3_HUMAN_b03.a2m,0.2,22.4406
HEM3_HUMAN,HEM3_HUMAN_b04.a2m,0.2,22.432
HEM3_HUMAN,HEM3_HUMAN_b05.a2m,0.2,22.4046
HEM3_HUMAN,HEM3_HUMAN_b06.a2m,0.2,22.3831
HEM3_HUMAN,HEM3_HUMAN_b07.a2m,0.2,22.2563
HEM3_HUMAN,HEM3_HUMAN_b08.a2m,0.2,21.763
HEM3_HUMAN,HEM3_HUMAN_b09.a2m,0.2,14.6783
OPSD_HUMAN,OPSD_HUMAN_b03.a2m,0.2,233.9544
OPSD_HUMAN,OPSD_HUMAN_b04.a2m,0.2,124.9485
OPSD_HUMAN,OPSD_HUMAN_b05.a2m,0.2,98.6047
OPSD_HUMAN,OPSD_HUMAN_b07.a2m,0.2,9.8529
OXDA_RHOTO,OXDA_RHOTO_b01.a2m,0.2,303.4767
OXDA_RHOTO,OXDA_RHOTO_b02.a2m,0.2,197.8888
OXDA_RHOTO,OXDA_RHOTO_b03.a2m,0.2,17.9086
SERC_HUMAN,SERC_HUMAN_b02.a2m,0.2,89.7455
SERC_HUMAN,SERC_HUMAN_b03.a2m,0.2,28.2031
Q837P5_ENTFA,Q837P5_ENTFA_b04.a2m,0.2,526.0922
Q837P5_ENTFA,Q837P5_ENTFA_b05.a2m,0.2,474.387
Q837P5_ENTFA,Q837P5_ENTFA_b06.a2m,0.2,432.0239
Q837P5_ENTFA,Q837P5_ENTFA_b07.a2m,0.2,334.0027
Q837P5_ENTFA,Q837P5_ENTFA_b08.a2m,0.2,294.3886
Q837P5_ENTFA,Q837P5_ENTFA_b09.a2m,0.2,201.1557
OTC_HUMAN,OTC_HUMAN_b01.a2m,0.2,50.1948
